ID,Title,Runtime,Rating,Votes,MPAA,ReleaseDate,Year,Month,Day,Budget,Opening Weekend,Cumulative Gross,IsDc,IsMarvel,Cast1,Cast2,Cast3,Cast4,Cast5,Director1,Director2,Director3,Director4,Director5,Producer1,Producer2,Producer3,Producer4,Producer5,Company1,Company2,Company3,Company4,Company5
33888,The Mechanical Monsters,11,7.6,1033,Approved,11/21/1941 0:00,1941,11,21,,,,,,Joan Alexander,Jackson Beck,Bud Collyer,,,Dave Fleischer,,,,,Max Fleischer,,,,,Fleischer Studios,,,,
185027,The Deathless Devil,84,5.2,263,,9/29/1972 0:00,1972,9,29,,,,,,Mine Mutlu,Kunt Tulgar,Erol Tas,Erol Günaydin,Muzaffer Tema,Yilmaz Atadeniz,,,,,Yilmaz Atadeniz,,,,,Atadeniz Film,,,,
52159,Santo contra cerebro del mal,70,5.5,92,TV-14,7/7/1961 0:00,1961,7,7,,,,,,Joaquín Cordero,Norma Suárez,Enrique Zambrano,Alberto Inzúa,Juanito Tremble,Joselito Rodríguez,,,,,Jesús Alvariño,Jorge García Besné,Carlos Garduño G.,Enrique Zambrano,,Agrupación de Técnicos Cinematografistas de Cuba,Azteca Films,,,
5822132,Super Furball,86,5.5,64,,1/26/2018 0:00,2018,1,26,1670000,,,,,Ella Jäppinen,Essi Hellén,Eero Ritala,Arttu Wiskari,Viljami Lahti,Joona Tena,,,,,Olli Haikka,Sami Nikki,Jorma Reinilä,Ville Rousu,Marko Talli,NVFX Studio,Plotwise,Yellow Film & TV,,
8514324,The Fate of Cysalion,188,7.8,14,,5/19/2018 0:00,2018,5,19,1150000,,,,,Nicole Schuhmacher,Marc Blasweiler,Peter Groß-Paaß,Olaf Jansen,Chii Rempel,Marc Blasweiler,,,,,Marc Blasweiler,,,,,Shinytainment Pictures,Shinytainment Records,,,
3041452,The Grad Job,95,5.4,258,PG-13,6/13/2014 0:00,2014,6,13,,,,,,Marc Lavoine,Valérie Karsenti,Thomas Solivérès,Samy Seghir,Laouni Mouhid,Antoine Blossier,,,,,Fabrice Gianfermi,Eric Jehelmann,Nadia Khamlichi,Olivier Oursel,Adrian Politowski,Jerico,Gaumont,Quasar Pictures,France 2 Cinéma,Nexus Factory
415219,Promedio Rojo,99,5.5,1346,,9/30/2004 0:00,2004,9,30,,,,,,Ariel Levy,Xenia Tostado,Benjamín Vicuña,Nicolás Martínez,Berta Muñiz,Nicolás López,,,,,Miguel Asensio Llamas,Matías Cornejo Bunger,Carlos Garriga,Marilú Gutiérrez,María Luisa Gutiérrez,Aldea Films,Sobras.com Producciones,Amiguetes Entertainment,,
347757,"Pedro Penduko, Episode II: The Return of the Comeback",130,7.5,24,,5/26/2000 0:00,2000,5,26,,,,,,Janno Gibbs,Ramon Zamora,Ace Espinosa,LJ Moreno,Dino Guevarra,Erik Matti,,,,,Brenda M. Bayhon,Vicente G. del Rosario III,Vic del Rosario Jr.,Veronique del Rosario-Corpus,Rommel Lubguban,Viva Films,,,,
64933,Land of the Dead,85,5.5,72,,10/1/1970 0:00,1970,10,1,,,,,,Santo,Blue Demon,Pilar Pellicer,Carlos León,Antonio Raxel,Gilberto Martínez Solares,,,,,Heberto Dávila Guajardo,Jesús Sotomayor Martínez,,,,Cinematográfica Sotomayor,,,,
389833,Captain Barbell,115,4.4,36,,12/25/2003 0:00,2003,12,25,,,,,,Ramon 'Bong' Revilla Jr.,Ogie Alcasid,Regine Velasquez,Rufa Mae Quinto,Albert Martinez,Mac Alejandre,,,,,Vic del Rosario Jr.,Hermie Go,William C. Leary,Rachel Mañalac,,Premiere Productions,Viva Films,,,
336011,Yarasa adam - Bedmen,62,3.7,174,,9/29/1973 0:00,1973,9,29,,,,,,Levent Çakir,Emel Özden,Hüseyin Sayan,Ceyhan Cem,Renan Fosforoglu,Günay Kosova,,,,,Müfit Ilkiz,,,,,Kunt Film,,,,
1046183,Mirageman,90,7.4,1574,R,7/15/2007 0:00,2007,7,15,,,,,,Marko Zaror,María Elena Swett,Ariel Mateluna,Mauricio Pesutic,Iván Jara,Ernesto Díaz Espinoza,,,,,Jorge Abud,Gina Aguad,Sebastián Ayub,Eduardo Castro,Iván Lopez,Mandrill Films,Ronnoc Entertainment,,,
877732,ZsaZsa Zaturnnah Ze Moveeh,114,6.2,94,,12/25/2006 0:00,2006,12,25,,,,,,Zsa Zsa Padilla,Bb Gandanghari,Pops Fernandez,Chokoleit,Alfred Vargas,Joel Lamangan,,,,,Lea A. Calmerin,Lily Y. Monteverde,Roselle Y. Monteverde,Manny Valera,,Regal Films,Regal Multimedia,Ignite Media,,
3229648,Cicak Man 3,,4.5,79,,3/12/2015 0:00,2015,3,12,,,,,,Zizan Razak,Lisa Surihani,Fizz Fairuz,Bell Ngasri,Yus Jambu,Ghaz Abu Bakar,Yusry Abd Halim,,,,Johan Lucas,,,,,Astro Shaw,Grand Brilliance,KRU Studios,Kit Kat,
62964,Fenomenal and the Treasure of Tutankamen,95,4.4,63,,3/4/1968 0:00,1968,3,4,,,,,,Mauro Parenti,Lucretia Love,Gordon Mitchell,John Karlsen,Carla Romanelli,Ruggero Deodato,,,,,Mauro Parenti,,,,,Industrie Cinematografiche Artistiche Romane,,,,
446663,Broken,19,4.3,205,,1/19/2005 0:00,2005,1,19,8000,,,,,Samantha Gurewitz,Paul Gordon,Amber Crawford,Derek Evans,Tony Gomez,Alex Ferrari,,,,,Michelle Clayton,Alex Ferrari,Jorge F. Rodriguez,,,The Enigma Factory,Fortuity Films,,,
121067,Alyas Batman en Robin,129,5.5,100,,4/6/1991 0:00,1991,4,6,,,,,,Rene Requiestas,Dawn Zulueta,Vina Morales,Keempee de Leon,Joey de Leon,Tony Y. Reyes,,,,,Tony Fajardo,Lily Y. Monteverde,,,,Regal Films,,,,
67708,Santo y Blue Demon vs Drácula y el Hombre Lobo,90,5.7,312,TV-14,7/26/1973 0:00,1973,7,26,,,,,,Santo,Blue Demon,Aldo Monti,Agustín Martínez Solares,Nubia Martí,Miguel M. Delgado,,,,,Guillermo Calderón,Santo,,,,Cinematográfica Calderón S.A.,,,,
471223,Kamen Rider: The First,91,6.3,223,,11/5/2005 0:00,2005,11,5,,,,,,Masaya Kikawada,Hassei Takano,Rena Komine,Hiroshi Miyauchi,Eiji Wentz,Takao Nagaishi,,,,,Osamu Fukunaka,Tôru Ishii,Ken Kaneko,Kazuo Katô,Kunihiko Kodama,Toei Advertising K.K.,Toei Company,Toei Satellite TV Company,Toei Video Company,
3146264,Agent 2000: Die Laksman,97,4.9,24,,3/28/2014 0:00,2014,3,28,,,,,,Paul Loots,Izel Bezuidenhout,Karen Wessels,David James,Shani Loots,Stefan Nieuwoudt,,,,,Danie Bester,Jan du Plessis,Samuel Loots,Karen Meiring,Dries Scholtz,The Film Factory,,,,
1074945,Captain Barbell,,,,,12/22/1973 0:00,1973,12,22,,,,,,Dolphy,Lotis Key,Panchito,Babalu,Katy de la Cruz,Jose 'Pepe' Wenceslao,,,,,Dolphy,,,,,RVQ Productions,,,,
292053,Kilink Istanbul'da,71,6.1,218,,12/25/1967 0:00,1967,12,25,,,,,,Irfan Atasoy,Pervin Par,Muzaffer Tema,Suzan Avci,Hüseyin Peyda,Yilmaz Atadeniz,,,,,Yilmaz Atadeniz,,,,,Atadeniz Film,,,,
52424,"Zorro, the Avenger",91,6.6,157,,9/10/1959 0:00,1959,9,10,,,,,,Guy Williams,Charles Korvin,Henry Calvin,Gene Sheldon,George J. Lewis,Charles Barton,,,,,Bill Anderson,,,,,Walt Disney Productions,,,,
70631,Santo Versus Doctor Death,95,6.1,105,,12/17/1973 0:00,1973,12,17,,,,,,Santo,Carlos Romero Marchent,Helga Liné,George Rigaud,Antonio Pica,Rafael Romero Marchent,,,,,Joaquín Mortera,Manuel Torres,,,,Cinematografica Pelimex,Oro Films,,,
56893,Shades of Zorro,87,4.9,52,,12/22/1962 0:00,1962,12,22,,,231838,,,Frank Latimore,María Luz Galicia,Paul Piaget,Robert Hundar,José Marco Davó,Joaquín Luis Romero Marchent,,,,,Alberto Grimaldi,Attilio Tosato,Norberto Soliño,,,Explorer Film '58,Produzioni Europee Associate,"Copercines, Cooperativa Cinematográfica",Lesoeur,
